AvgPop_mean,AvgPop_seed_std,Coverage_mean,Coverage_seed_std,Diversity_ci_hi,Diversity_ci_lo,Diversity_mean,Diversity_seed_std,HR@10_ci_hi,HR@10_ci_lo,HR@10_mean,HR@10_seed_std,NDCG@10_ci_hi,NDCG@10_ci_lo,NDCG@10_mean,NDCG@10_seed_std,Recall@10_ci_hi,Recall@10_ci_lo,Recall@10_mean,Recall@10_seed_std,base,dataset,n_seeds,reranker
1244.6705681629949,136.78073737082775,0.2521936031701104,0.020604084500598252,0.8401615887880325,0.8387956753373146,0.839444899559021,0.030436185947491607,0.4562870502471924,0.44435895085334776,0.4501904845237732,0.0280804985082389,0.0863474765792489,0.08347044531255961,0.08495574444532394,0.010925251233015262,0.051208378933370116,0.049326857272535565,0.05024166256189346,0.006886745655971478,neumf,ml-1m,5,dpp_alpha=4.0
180.0355064910452,0.0,0.0026289845547157412,0.0,0.8710739955306053,0.8708949625492096,0.8709813952445984,0.0,0.029640860855579376,0.026703307405114174,0.028143655508756638,0.0,0.009018377377651631,0.00797183089889586,0.008509325794875622,0.0,0.016809884319081904,0.014979395759291947,0.01587860845029354,0.0,popularity,amazon-beauty,5,none
180.0355064910452,0.0,0.0026289845547157412,0.0,0.8710739955306053,0.8708949625492096,0.8709813952445984,0.0,0.029640860855579376,0.026703307405114174,0.028143655508756638,0.0,0.009018377377651631,0.00797183089889586,0.008509325794875622,0.0,0.016809884319081904,0.014979395759291947,0.01587860845029354,0.0,popularity,amazon-beauty,5,mmr_lam=1.0
179.1351464038662,0.0,0.002793296089385475,0.0,0.902985443174839,0.9028793543577194,0.9029321074485779,0.0,0.029470766661688685,0.026627499610185623,0.028048895299434662,0.0,0.009096357366070151,0.008038138458505272,0.008582193404436111,0.0,0.016566744679585098,0.01479408862069249,0.015634337440133095,0.0,popularity,amazon-beauty,5,mmr_lam=0.8
167.89764995735808,0.0,0.0036148537627341435,4.84869951806108e-19,0.9826369971036911,0.9825763642787934,0.9826054573059082,0.0,0.02564247203990817,0.022893489571288228,0.024258505553007126,0.0,0.00834871344268322,0.007339802174828947,0.007836708799004555,0.0,0.014401705143973232,0.012748058745637536,0.013544109649956226,0.0,popularity,amazon-beauty,5,mmr_lam=0.6
164.64696294892448,0.0,0.005093657574761748,0.0,0.9859979748725891,0.9859619125723839,0.9859799146652222,0.0,0.025661422638222575,0.023083483800292015,0.024353263899683952,0.0,0.00819576308131218,0.007198407093528658,0.007686809170991182,0.0,0.013994830031879246,0.012415113486349582,0.013195866718888283,0.0,popularity,amazon-beauty,5,mmr_lam=0.4
153.1217663223728,0.0,0.005915215248110417,0.0,0.9937106981873512,0.9936851263046265,0.9936986565589905,0.0,0.025452477857470512,0.022893963381648064,0.02416374534368515,0.0,0.00816007840912789,0.007167033001314849,0.007675343658775091,0.0,0.013997714477591216,0.012374888034537434,0.01319428812712431,0.0,popularity,amazon-beauty,5,mmr_lam=0.2
180.0355064910452,0.0,0.0026289845547157412,0.0,0.8710779622197151,0.8708980605006218,0.8709847331047058,0.0,0.029640860855579376,0.026703307405114174,0.028143655508756638,0.0,0.009018377377651631,0.00797183089889586,0.008509325794875622,0.0,0.016809884319081904,0.014979395759291947,0.01587860845029354,0.0,popularity,amazon-beauty,5,dpp_alpha=0.5
180.0355064910452,0.0,0.0026289845547157412,0.0,0.8710739955306053,0.8708949625492096,0.8709813952445984,0.0,0.029640860855579376,0.026703307405114174,0.028143655508756638,0.0,0.009018377377651631,0.00797183089889586,0.008509325794875622,0.0,0.016809884319081904,0.014979395759291947,0.01587860845029354,0.0,popularity,amazon-beauty,5,dpp_alpha=1.0
180.0355064910452,0.0,0.0026289845547157412,0.0,0.8710739955306053,0.8708949625492096,0.8709813952445984,0.0,0.029640860855579376,0.026703307405114174,0.028143655508756638,0.0,0.009018377377651631,0.00797183089889586,0.008509325794875622,0.0,0.016809884319081904,0.014979395759291947,0.01587860845029354,0.0,popularity,amazon-beauty,5,dpp_alpha=2.0
180.0355064910452,0.0,0.0026289845547157412,0.0,0.8710739955306053,0.8708949625492096,0.8709813952445984,0.0,0.029640860855579376,0.026703307405114174,0.028143655508756638,0.0,0.009018377377651631,0.00797183089889586,0.008509325794875622,0.0,0.016809884319081904,0.014979395759291947,0.01587860845029354,0.0,popularity,amazon-beauty,5,dpp_alpha=4.0
1950.953536524764,2.5421149729252077e-13,0.024341919048966883,0.0,0.6480741232633591,0.6466716378927231,0.6473827958106995,0.0,0.3709151856601238,0.36004638671875,0.36557891964912415,0.0,0.08025106173008681,0.07713992726057768,0.07871799170970917,0.0,0.04313395218923688,0.041264458931982516,0.04224409908056259,0.0,popularity,ml-1m,5,none
1950.953536524764,2.5421149729252077e-13,0.024341919048966883,0.0,0.6480741232633591,0.6466716378927231,0.6473827958106995,0.0,0.3709151856601238,0.36004638671875,0.36557891964912415,0.0,0.08025106173008681,0.07713992726057768,0.07871799170970917,0.0,0.04313395218923688,0.041264458931982516,0.04224409908056259,0.0,popularity,ml-1m,5,mmr_lam=1.0
1938.681298658274,0.0,0.02547410133031418,0.0,0.686770124733448,0.6855530679225922,0.6861560940742493,0.0,0.3777041435241699,0.3667376108467579,0.3725360333919525,0.0,0.0809087585657835,0.07772178146988154,0.07934417575597763,0.0,0.043857252970337865,0.041920327581465244,0.042935654520988464,0.0,popularity,ml-1m,5,mmr_lam=0.8
1905.2747391088292,2.5421149729252077e-13,0.030851967166713838,3.878959614448864e-18,0.7510003536939621,0.7501820012927055,0.7505857348442078,0.0,0.40483683347702026,0.3937709093093872,0.39920490980148315,0.0,0.0830647399649024,0.0800747761502862,0.08158956468105316,0.0,0.04679466895759106,0.0447591588832438,0.04580111801624298,0.0,popularity,ml-1m,5,mmr_lam=0.6
1819.483899287726,2.5421149729252077e-13,0.03764506085479762,0.0,0.7928121224045753,0.7921619683504104,0.7924654483795166,0.0,0.4131555311381817,0.40231738686561586,0.407487154006958,0.0,0.0827417265623808,0.07979899886995553,0.08129943162202835,0.0,0.04656429076567292,0.04461242174729705,0.04559857025742531,0.0,popularity,ml-1m,5,mmr_lam=0.4
1628.7573132350506,0.0,0.04302292669119728,0.0,0.8441108196973801,0.8436040818691254,0.8438426852226257,0.0,0.4130859673023224,0.4017218716442585,0.4073215126991272,0.0,0.07863386478275061,0.07593188881874084,0.07730594277381897,0.0,0.043534159939736125,0.04168711323291063,0.04262546822428703,0.0,popularity,ml-1m,5,mmr_lam=0.2
1950.953536524764,2.5421149729252077e-13,0.024341919048966883,0.0,0.6480741232633591,0.6466716378927231,0.6473827958106995,0.0,0.3709151856601238,0.36004638671875,0.36557891964912415,0.0,0.08025106173008681,0.07713992726057768,0.07871799170970917,0.0,0.04313395218923688,0.041264458931982516,0.04224409908056259,0.0,popularity,ml-1m,5,dpp_alpha=0.5
1950.953536524764,2.5421149729252077e-13,0.024341919048966883,0.0,0.6480741232633591,0.6466716378927231,0.6473827958106995,0.0,0.3709151856601238,0.36004638671875,0.36557891964912415,0.0,0.08025106173008681,0.07713992726057768,0.07871799170970917,0.0,0.04313395218923688,0.041264458931982516,0.04224409908056259,0.0,popularity,ml-1m,5,dpp_alpha=1.0
1950.953536524764,2.5421149729252077e-13,0.024341919048966883,0.0,0.6480741232633591,0.6466716378927231,0.6473827958106995,0.0,0.3709151856601238,0.36004638671875,0.36557891964912415,0.0,0.08025106173008681,0.07713992726057768,0.07871799170970917,0.0,0.04313395218923688,0.041264458931982516,0.04224409908056259,0.0,popularity,ml-1m,5,dpp_alpha=2.0
1950.953536524764,2.5421149729252077e-13,0.024341919048966883,0.0,0.6480741232633591,0.6466716378927231,0.6473827958106995,0.0,0.3709151856601238,0.36004638671875,0.36557891964912415,0.0,0.08025106173008681,0.07713992726057768,0.07871799170970917,0.0,0.04313395218923688,0.041264458931982516,0.04224409908056259,0.0,popularity,ml-1m,5,dpp_alpha=4.0
49.60632047758931,8.568671265178672,0.3068682221491949,0.06120903507648002,0.877906183898449,0.8761224195361137,0.8770414233207703,0.026881811388942033,0.08951056450605392,0.08473372757434845,0.08706528842449188,0.016694861870228624,0.027396739181131124,0.025583431730046867,0.02642865926027298,0.005679540305782713,0.044140074774622916,0.04144677892327309,0.04272779040038586,0.009725095442735832,sasrec,amazon-beauty,5,none
49.60632047758931,8.568671265178672,0.3068682221491949,0.06120903507648002,0.877906183898449,0.8761224195361137,0.8770414233207703,0.026881811388942033,0.08951056450605392,0.08473372757434845,0.08706528842449188,0.016694861870228624,0.027396739181131124,0.025583431730046867,0.02642865926027298,0.005679540305782713,0.044140074774622916,0.04144677892327309,0.04272779040038586,0.009725095442735832,sasrec,amazon-beauty,5,mmr_lam=1.0
