base,dataset,reranker,seed,metric,value
als,amazon-beauty,mmr_lam=0.4,3,Recall@10,0.034474220126867294
als,amazon-beauty,mmr_lam=0.4,3,HR@10,0.06936416029930115
als,amazon-beauty,mmr_lam=0.4,3,Diversity,0.9722398519515991
als,amazon-beauty,mmr_lam=0.4,3,Coverage,0.1399934275386132
als,amazon-beauty,mmr_lam=0.4,3,AvgPop,78.59779209703402
als,amazon-beauty,mmr_lam=0.2,3,NDCG@10,0.022361766546964645
als,amazon-beauty,mmr_lam=0.2,3,Recall@10,0.030264968052506447
als,amazon-beauty,mmr_lam=0.2,3,HR@10,0.061783380806446075
als,amazon-beauty,mmr_lam=0.2,3,Diversity,0.9839162826538086
als,amazon-beauty,mmr_lam=0.2,3,Coverage,0.1613539270456786
als,amazon-beauty,mmr_lam=0.2,3,AvgPop,75.61335165355823
als,amazon-beauty,dpp_alpha=0.5,3,NDCG@10,0.024007730185985565
als,amazon-beauty,dpp_alpha=0.5,3,Recall@10,0.0315106175839901
als,amazon-beauty,dpp_alpha=0.5,3,HR@10,0.06500521302223206
als,amazon-beauty,dpp_alpha=0.5,3,Diversity,0.9826688766479492
als,amazon-beauty,dpp_alpha=0.5,3,Coverage,0.15379559645087085
als,amazon-beauty,dpp_alpha=0.5,3,AvgPop,75.46048517009382
als,amazon-beauty,dpp_alpha=1.0,3,NDCG@10,0.025507330894470215
als,amazon-beauty,dpp_alpha=1.0,3,Recall@10,0.034204211086034775
als,amazon-beauty,dpp_alpha=1.0,3,HR@10,0.06983795762062073
als,amazon-beauty,dpp_alpha=1.0,3,Diversity,0.9778445363044739
als,amazon-beauty,dpp_alpha=1.0,3,Coverage,0.14590864278672364
als,amazon-beauty,dpp_alpha=1.0,3,AvgPop,76.75482801099213
als,amazon-beauty,dpp_alpha=2.0,3,NDCG@10,0.02712266892194748
als,amazon-beauty,dpp_alpha=2.0,3,Recall@10,0.03757617995142937
als,amazon-beauty,dpp_alpha=2.0,3,HR@10,0.07523927092552185
als,amazon-beauty,dpp_alpha=2.0,3,Diversity,0.9701527953147888
als,amazon-beauty,dpp_alpha=2.0,3,Coverage,0.1390075583305948
als,amazon-beauty,dpp_alpha=2.0,3,AvgPop,78.03762911020563
als,amazon-beauty,dpp_alpha=4.0,3,NDCG@10,0.028974492102861404
als,amazon-beauty,dpp_alpha=4.0,3,Recall@10,0.041108667850494385
als,amazon-beauty,dpp_alpha=4.0,3,HR@10,0.08007201552391052
als,amazon-beauty,dpp_alpha=4.0,3,Diversity,0.9589068293571472
als,amazon-beauty,dpp_alpha=4.0,3,Coverage,0.12997042392375946
als,amazon-beauty,dpp_alpha=4.0,3,AvgPop,78.84034871600493
als,amazon-beauty,none,4,NDCG@10,0.03464803844690323
als,amazon-beauty,none,4,Recall@10,0.054445575922727585
als,amazon-beauty,none,4,HR@10,0.099403016269207
als,amazon-beauty,none,4,Diversity,0.8292075395584106
als,amazon-beauty,none,4,Coverage,0.10860992441669405
als,amazon-beauty,none,4,AvgPop,77.46988534066142
als,amazon-beauty,mmr_lam=1.0,4,NDCG@10,0.03464803844690323
als,amazon-beauty,mmr_lam=1.0,4,Recall@10,0.054445575922727585
als,amazon-beauty,mmr_lam=1.0,4,HR@10,0.099403016269207
als,amazon-beauty,mmr_lam=1.0,4,Diversity,0.8292075395584106
als,amazon-beauty,mmr_lam=1.0,4,Coverage,0.10860992441669405
als,amazon-beauty,mmr_lam=1.0,4,AvgPop,77.46988534066142
als,amazon-beauty,mmr_lam=0.8,4,NDCG@10,0.03239347040653229
als,amazon-beauty,mmr_lam=0.8,4,Recall@10,0.049352046102285385
als,amazon-beauty,mmr_lam=0.8,4,HR@10,0.09286458790302277
als,amazon-beauty,mmr_lam=0.8,4,Diversity,0.8943122029304504
als,amazon-beauty,mmr_lam=0.8,4,Coverage,0.11353927045678607
als,amazon-beauty,mmr_lam=0.8,4,AvgPop,79.65826779114944
als,amazon-beauty,mmr_lam=0.6,4,NDCG@10,0.028531936928629875
als,amazon-beauty,mmr_lam=0.6,4,Recall@10,0.04155394807457924
als,amazon-beauty,mmr_lam=0.6,4,HR@10,0.07997725903987885
als,amazon-beauty,mmr_lam=0.6,4,Diversity,0.9468194246292114
als,amazon-beauty,mmr_lam=0.6,4,Coverage,0.1258626355570161
als,amazon-beauty,mmr_lam=0.6,4,AvgPop,80.23814081303895
als,amazon-beauty,mmr_lam=0.4,4,NDCG@10,0.02421817183494568
als,amazon-beauty,mmr_lam=0.4,4,Recall@10,0.03329671546816826
als,amazon-beauty,mmr_lam=0.4,4,HR@10,0.06851132214069366
als,amazon-beauty,mmr_lam=0.4,4,Diversity,0.9736009836196899
als,amazon-beauty,mmr_lam=0.4,4,Coverage,0.14147223135064083
als,amazon-beauty,mmr_lam=0.4,4,AvgPop,79.13784705770871
als,amazon-beauty,mmr_lam=0.2,4,NDCG@10,0.021371114999055862
als,amazon-beauty,mmr_lam=0.2,4,Recall@10,0.028587529435753822
als,amazon-beauty,mmr_lam=0.2,4,HR@10,0.0593196265399456
als,amazon-beauty,mmr_lam=0.2,4,Diversity,0.9851909279823303
als,amazon-beauty,mmr_lam=0.2,4,Coverage,0.16348997699638515
als,amazon-beauty,mmr_lam=0.2,4,AvgPop,76.37412110300389
als,amazon-beauty,dpp_alpha=0.5,4,NDCG@10,0.022964611649513245
als,amazon-beauty,dpp_alpha=0.5,4,Recall@10,0.030000753700733185
als,amazon-beauty,dpp_alpha=0.5,4,HR@10,0.06273097544908524
als,amazon-beauty,dpp_alpha=0.5,4,Diversity,0.9839491248130798
als,amazon-beauty,dpp_alpha=0.5,4,Coverage,0.15576733486690766
als,amazon-beauty,dpp_alpha=0.5,4,AvgPop,76.0884014024448
als,amazon-beauty,dpp_alpha=1.0,4,NDCG@10,0.024418726563453674
als,amazon-beauty,dpp_alpha=1.0,4,Recall@10,0.032814428210258484
als,amazon-beauty,dpp_alpha=1.0,4,HR@10,0.06784800440073013
als,amazon-beauty,dpp_alpha=1.0,4,Diversity,0.9789683222770691
als,amazon-beauty,dpp_alpha=1.0,4,Coverage,0.1477160696680907
als,amazon-beauty,dpp_alpha=1.0,4,AvgPop,77.33963801762532
als,amazon-beauty,dpp_alpha=2.0,4,NDCG@10,0.026403745636343956
als,amazon-beauty,dpp_alpha=2.0,4,Recall@10,0.03659921512007713
als,amazon-beauty,dpp_alpha=2.0,4,HR@10,0.07372311502695084
als,amazon-beauty,dpp_alpha=2.0,4,Diversity,0.9711173176765442
als,amazon-beauty,dpp_alpha=2.0,4,Coverage,0.13917186986526453
als,amazon-beauty,dpp_alpha=2.0,4,AvgPop,78.53403771439402
als,amazon-beauty,dpp_alpha=4.0,4,NDCG@10,0.0283146221190691
als,amazon-beauty,dpp_alpha=4.0,4,Recall@10,0.04029902070760727
